coord.Dim.1,coord.Dim.2,coord.Dim.3,klastry
0.034263933841655325,0.3050197563120432,0.5462402600732594,Hackerspace'y
0.13857055077479738,0.27100878328192773,0.9944388059727022,Warsztaty rzemieślnicze
0.39251207064824684,0.022190515507445528,0.5659198053279172,SMONGs
0.07297160269689766,0.2741449042951188,0.8167672086741874,Warsztaty rzemieślnicze
1,0.33442774269868986,0.31402651635816164,Fablab przyszłości
0.13393331531909958,0.4820423770537483,1,Warsztaty rzemieślnicze
0.2387238881315708,0,0.6304192368238696,SMONGs
0.2770632635688201,0.09513779059462311,0.701666164574299,SMONGs
0.19328810130740554,0.15421927324747117,0.06536788269125171,Hackerspace'y
0.4005175806651099,0.07051126381316206,0.5974489982092636,SMONGs
0.4579152529832729,0.10709177869183621,0.49957430686127396,SMONGs
0.14147003304099287,0.17217591801219154,0,Hackerspace'y
0.11878289711068798,0.2851301544927875,0.7655497824900039,Warsztaty rzemieślnicze
0.22462555937776255,0.044980636774780064,0.3652668479127167,Hackerspace'y
0.37265373576363153,0.3423460869232179,0.33112371411713487,SMONGs
0.0660075792213849,1,0.23148894663987502,Model abonamentowy
0.3732981504848473,0.3215666221945545,0.7752256527576605,SMONGs
0.3329005462161265,0.1030259327371292,0.5124847362956697,SMONGs
0.19027828132399796,0.30511946325682526,0.9776128814581647,Warsztaty rzemieślnicze
0.1010989050173304,0.12684869360115208,0.2531691675097499,Hackerspace'y
0.16903923219374858,0.07313028025614741,0.5846029446869144,SMONGs
0.16932751159540127,0.20539438109336552,0.6618611363828093,Warsztaty rzemieślnicze
0.03195265581794149,0.95741559199997,0.4442521029121369,Model abonamentowy
0.3708818505901058,0.11845562047735657,0.5263102434667294,SMONGs
0,0.34967501045777644,0.042386363787106314,Hackerspace'y
0.5414954904469986,0.13598329085951188,0.5356566380823371,SMONGs
0.3118985058340025,0.03206953847149405,0.6086332813623095,SMONGs
0.3868777101601829,0.734194071898381,0.8305478730261593,Fablab zrównoważony
0.3850952125328611,0.19451938928917145,0.46185196849271487,SMONGs
0.728497217764756,0.8903438251766451,0.5151289588696055,Fablab przyszłości
0.07055814637286968,0.12815816244952574,0.3320487004868106,Hackerspace'y
0.15437766606273168,0.02064680093383818,0.6334033642432092,SMONGs
